SIRA NO,ETAP,BLOK,NO,FİRMA,KİRACI/MALİK,İŞ KOLU
69,2,H,12,ÖZMEN PROFİL VE SAC METAL SAN.TİC.LTD.ŞTİ.,KİRACI,PROFİL SAC METAL
70,2,H,17,TRAKYA LAZER ENDÜSTRİYEL KESİM KALIPLARI SANÇTİC.LTD.ŞTİ,KİRACI,LAZER KESİM KALIP İMALATI
71,2,H,19,CNT SÜRDÜRÜLEBİLİR ÜRETİM TEKNOLOJİLERİ,KİRACI,TEKSTİL HAMMADE SATIŞ-AMBALAJ
72,3,K,3,ŞAHİN TAŞLAMA,MALİK,METAL TAŞLAMA
73,3,K,4,NET İNŞAAT,MALİK,OFİS
74,3,K,12,ERKAN YAŞAR,KİRACI,METAY YÜZEY İŞLEM
75,3,K,17-18-19-20,NORM MEKANİK,MALİK,MEKANİK SİSTEMLER
76,3,L,,,,
77,3,L,,,,
78,3,L,,,,
79,3,L,,,,
80,3,M,8,HSDM HİDROLİK PNÖMATİK SİSTEMLERİ SANAYİ VE TİCARET A.Ş.,KİRACI,HİDROLİK-PNOMATİK SİSTEM ÜRETİMİ
81,3,M,,,,
82,3,M,,,,
