Bölüm Adı(62),Blok No(62),Daire No(62),"Brüt m²(Σ:22,506.00)","Net M2(Σ:22,506.00)",Durumu - Detay
Model Sanayi Merkezi 3. Etap,K,1,450,450,Satışa Kapalı
Model Sanayi Merkezi 3. Etap,K,10,312,312,Satıldı
Model Sanayi Merkezi 3. Etap,K,11,305,305,Satılık
Model Sanayi Merkezi 3. Etap,K,12,312,312,Satıldı
Model Sanayi Merkezi 3. Etap,K,13,319,319,Satıldı
Model Sanayi Merkezi 3. Etap,K,14,319,319,Satıldı
Model Sanayi Merkezi 3. Etap,K,15,527,527,Satıldı
Model Sanayi Merkezi 3. Etap,K,16,492,492,Satıldı
Model Sanayi Merkezi 3. Etap,K,17,492,492,Satıldı
Model Sanayi Merkezi 3. Etap,K,18,525,525,Satıldı
Model Sanayi Merkezi 3. Etap,K,2,433,433,Satışa Kapalı
Model Sanayi Merkezi 3. Etap,K,3,430,430,Satıldı
Model Sanayi Merkezi 3. Etap,K,4,460,460,Satıldı
Model Sanayi Merkezi 3. Etap,K,5,324,324,Satışa Kapalı
Model Sanayi Merkezi 3. Etap,K,6,338,338,Satıldı
Model Sanayi Merkezi 3. Etap,K,7,298,298,Satışa Kapalı
Model Sanayi Merkezi 3. Etap,K,8,312,312,Satıldı
Model Sanayi Merkezi 3. Etap,K,9,298,298,Satışa Kapalı
Model Sanayi Merkezi 3. Etap,L,1,518,518,Satılık
Model Sanayi Merkezi 3. Etap,L,11,277,277,Satıldı
Model Sanayi Merkezi 3. Etap,L,12,277,277,Satıldı
Model Sanayi Merkezi 3. Etap,L,13,302,302,Satıldı
Model Sanayi Merkezi 3. Etap,L,14,302,302,Satıldı
Model Sanayi Merkezi 3. Etap,L,15,283,283,Satıldı
Model Sanayi Merkezi 3. Etap,L,16,283,283,Satıldı
Model Sanayi Merkezi 3. Etap,L,17,531,531,Satılık
Model Sanayi Merkezi 3. Etap,L,18,494,494,Satıldı
Model Sanayi Merkezi 3. Etap,L,19,494,494,Satıldı
Model Sanayi Merkezi 3. Etap,L,2,482,482,Satılık
Model Sanayi Merkezi 3. Etap,L,20,528,528,Satıldı
Model Sanayi Merkezi 3. Etap,L,3,482,482,Satılık
Model Sanayi Merkezi 3. Etap,L,4,518,518,Satıldı
Model Sanayi Merkezi 3. Etap,L,5,286,286,Satıldı
Model Sanayi Merkezi 3. Etap,L,6,286,286,Satıldı
Model Sanayi Merkezi 3. Etap,L,7,277,277,Satılık
Model Sanayi Merkezi 3. Etap,L,8,277,277,Satılık
Model Sanayi Merkezi 3. Etap,M,1,222,222,Satıldı
Model Sanayi Merkezi 3. Etap,M,10,331,331,Satıldı
Model Sanayi Merkezi 3. Etap,M,11,326,326,Satılık
Model Sanayi Merkezi 3. Etap,M,12,333,333,Satılık
Model Sanayi Merkezi 3. Etap,M,15,325,325,Satılık
Model Sanayi Merkezi 3. Etap,M,16,335,335,Satıldı
Model Sanayi Merkezi 3. Etap,M,17,340,340,Satıldı
Model Sanayi Merkezi 3. Etap,M,18,340,340,Satıldı
Model Sanayi Merkezi 3. Etap,M,19,352,352,Satıldı
Model Sanayi Merkezi 3. Etap,M,2,344,344,Satılık
Model Sanayi Merkezi 3. Etap,M,20,329,329,Satıldı
Model Sanayi Merkezi 3. Etap,M,21,339,339,Satıldı
Model Sanayi Merkezi 3. Etap,M,22,377,377,Satıldı
Model Sanayi Merkezi 3. Etap,M,23,339,339,Satıldı
Model Sanayi Merkezi 3. Etap,M,24,360,360,Satıldı
Model Sanayi Merkezi 3. Etap,M,3,334,334,Satılık
Model Sanayi Merkezi 3. Etap,M,4,353,353,Satıldı
Model Sanayi Merkezi 3. Etap,M,5,337,337,Satılık
Model Sanayi Merkezi 3. Etap,M,8,364,364,Satıldı
Model Sanayi Merkezi 3. Etap,M,9,343,343,Satılık
Model Sanayi Merkezi 3. Etap,M,14,333,333,Satıldı
Model Sanayi Merkezi 3. Etap,M,13,340,340,Satıldı
Model Sanayi Merkezi 3. Etap,M,6,343,343,Satılık
Model Sanayi Merkezi 3. Etap,L,9,277,277,Satıldı
Model Sanayi Merkezi 3. Etap,L,10,277,277,Satıldı
Model Sanayi Merkezi 3. Etap,M,7,370,370,Satılık
