Bölüm Adı(60),Blok No(60),Daire No(60),"Brüt m²(Σ:15,699.00)","Net M2(Σ:15,699.00)",Durumu - Detay
Model Sanayi Merkezi 4. Etap,A,1,274,274,Satışa Kapalı
Model Sanayi Merkezi 4. Etap,A,2,264,264,Satışa Kapalı
Model Sanayi Merkezi 4. Etap,A,3,264,264,Satışa Kapalı
Model Sanayi Merkezi 4. Etap,A,4,274,274,Satışa Kapalı
Model Sanayi Merkezi 4. Etap,A,5,233,233,Satılık
Model Sanayi Merkezi 4. Etap,A,6,233,233,Satılık
Model Sanayi Merkezi 4. Etap,A,7,230,230,Satılık
Model Sanayi Merkezi 4. Etap,A,8,230,230,Satılık
Model Sanayi Merkezi 4. Etap,A,9,230,230,Satışa Kapalı
Model Sanayi Merkezi 4. Etap,A,10,230,230,Satışa Kapalı
Model Sanayi Merkezi 4. Etap,A,11,230,230,Satışa Kapalı
Model Sanayi Merkezi 4. Etap,A,12,230,230,Satışa Kapalı
Model Sanayi Merkezi 4. Etap,A,13,230,230,Satılık
Model Sanayi Merkezi 4. Etap,A,14,230,230,Satılık
Model Sanayi Merkezi 4. Etap,A,15,230,230,Satılık
Model Sanayi Merkezi 4. Etap,A,16,230,230,Satılık
Model Sanayi Merkezi 4. Etap,A,17,230,230,Satışa Kapalı
Model Sanayi Merkezi 4. Etap,A,18,230,230,Satışa Kapalı
Model Sanayi Merkezi 4. Etap,A,19,230,230,Satışa Kapalı
Model Sanayi Merkezi 4. Etap,A,20,230,230,Satışa Kapalı
Model Sanayi Merkezi 4. Etap,A,21,276,276,Satışa Kapalı
Model Sanayi Merkezi 4. Etap,A,22,264,264,Satışa Kapalı
Model Sanayi Merkezi 4. Etap,A,23,264,264,Satışa Kapalı
Model Sanayi Merkezi 4. Etap,A,24,180,180,Satışa Kapalı
Model Sanayi Merkezi 4. Etap,B,1,274,274,Satıldı
Model Sanayi Merkezi 4. Etap,B,2,264,264,Satılık
Model Sanayi Merkezi 4. Etap,B,3,264,264,Satılık
Model Sanayi Merkezi 4. Etap,B,4,274,274,Satılık
Model Sanayi Merkezi 4. Etap,B,5,233,233,Satışa Kapalı
Model Sanayi Merkezi 4. Etap,B,6,233,233,Satışa Kapalı
Model Sanayi Merkezi 4. Etap,B,7,230,230,Satışa Kapalı
Model Sanayi Merkezi 4. Etap,B,8,230,230,Satışa Kapalı
Model Sanayi Merkezi 4. Etap,B,9,230,230,Satıldı
Model Sanayi Merkezi 4. Etap,B,10,230,230,Satılık
Model Sanayi Merkezi 4. Etap,B,11,230,230,Satıldı
Model Sanayi Merkezi 4. Etap,B,12,230,230,Satıldı
Model Sanayi Merkezi 4. Etap,B,13,230,230,Satışa Kapalı
Model Sanayi Merkezi 4. Etap,B,14,230,230,Satışa Kapalı
Model Sanayi Merkezi 4. Etap,B,15,230,230,Satışa Kapalı
Model Sanayi Merkezi 4. Etap,B,16,230,230,Satışa Kapalı
Model Sanayi Merkezi 4. Etap,B,17,230,230,Satılık
Model Sanayi Merkezi 4. Etap,B,18,230,230,Satılık
Model Sanayi Merkezi 4. Etap,B,19,230,230,Satılık
Model Sanayi Merkezi 4. Etap,B,20,230,230,Satılık
Model Sanayi Merkezi 4. Etap,B,21,276,276,Satışa Kapalı
Model Sanayi Merkezi 4. Etap,B,22,264,264,Satışa Kapalı
Model Sanayi Merkezi 4. Etap,B,23,264,264,Satışa Kapalı
Model Sanayi Merkezi 4. Etap,B,24,276,276,Satışa Kapalı
Model Sanayi Merkezi 4. Etap,C,1,336,336,Satışa Kapalı
Model Sanayi Merkezi 4. Etap,C,2,320,320,Satışa Kapalı
Model Sanayi Merkezi 4. Etap,C,3,336,336,Satışa Kapalı
Model Sanayi Merkezi 4. Etap,C,4,335,335,Satışa Kapalı
Model Sanayi Merkezi 4. Etap,C,5,335,335,Satışa Kapalı
Model Sanayi Merkezi 4. Etap,C,6,335,335,Satılık
Model Sanayi Merkezi 4. Etap,C,7,335,335,Satılık
Model Sanayi Merkezi 4. Etap,C,8,335,335,Satıldı
Model Sanayi Merkezi 4. Etap,C,9,335,335,Satıldı
Model Sanayi Merkezi 4. Etap,C,10,335,335,Satıldı
Model Sanayi Merkezi 4. Etap,C,11,377,377,Satıldı
Model Sanayi Merkezi 4. Etap,C,12,397,397,Satıldı
