Bölüm Adı(118),Blok No(118),Daire No(118),"Brüt m²(Σ:48,966.00)","Net M2(Σ:48,966.00)",Durumu - Detay
Model Sanayi Merkezi 1. Etap,A,1,526,526,Satıldı
Model Sanayi Merkezi 1. Etap,A,10,519,519,Satıldı
Model Sanayi Merkezi 1. Etap,A,11,519,519,Satıldı
Model Sanayi Merkezi 1. Etap,A,12,519,519,Satıldı
Model Sanayi Merkezi 1. Etap,A,13,505,505,Satıldı
Model Sanayi Merkezi 1. Etap,A,14,505,505,Satıldı
Model Sanayi Merkezi 1. Etap,A,15,505,505,Satıldı
Model Sanayi Merkezi 1. Etap,A,16,505,505,Satıldı
Model Sanayi Merkezi 1. Etap,A,17,519,519,Satıldı
Model Sanayi Merkezi 1. Etap,A,18,519,519,Satıldı
Model Sanayi Merkezi 1. Etap,A,19,276,276,Satışa Kapalı
Model Sanayi Merkezi 1. Etap,A,2,526,526,Satıldı
Model Sanayi Merkezi 1. Etap,A,20,301,301,Satışa Kapalı
Model Sanayi Merkezi 1. Etap,A,21,301,301,Satışa Kapalı
Model Sanayi Merkezi 1. Etap,A,22,276,276,Satışa Kapalı
Model Sanayi Merkezi 1. Etap,A,23,122,122,Satışa Kapalı
Model Sanayi Merkezi 1. Etap,A,24,178,178,Satışa Kapalı
Model Sanayi Merkezi 1. Etap,A,25,178,178,Satışa Kapalı
Model Sanayi Merkezi 1. Etap,A,26,122,122,Satışa Kapalı
Model Sanayi Merkezi 1. Etap,A,27,122,122,Satışa Kapalı
Model Sanayi Merkezi 1. Etap,A,28,178,178,Satışa Kapalı
Model Sanayi Merkezi 1. Etap,A,29,178,178,Satışa Kapalı
Model Sanayi Merkezi 1. Etap,A,3,505,505,Satıldı
Model Sanayi Merkezi 1. Etap,A,30,122,122,Satışa Kapalı
Model Sanayi Merkezi 1. Etap,A,4,505,505,Satıldı
Model Sanayi Merkezi 1. Etap,A,5,505,505,Satıldı
Model Sanayi Merkezi 1. Etap,A,6,505,505,Satıldı
Model Sanayi Merkezi 1. Etap,A,7,505,505,Satıldı
Model Sanayi Merkezi 1. Etap,A,8,505,505,Satıldı
Model Sanayi Merkezi 1. Etap,A,9,519,519,Satıldı
Model Sanayi Merkezi 1. Etap,B,1,368,368,Satıldı
Model Sanayi Merkezi 1. Etap,B,10,365,365,Satıldı
Model Sanayi Merkezi 1. Etap,B,11,365,365,Satıldı
Model Sanayi Merkezi 1. Etap,B,12,365,365,Satıldı
Model Sanayi Merkezi 1. Etap,B,13,354,354,Satıldı
Model Sanayi Merkezi 1. Etap,B,14,354,354,Satıldı
Model Sanayi Merkezi 1. Etap,B,15,354,354,Satıldı
Model Sanayi Merkezi 1. Etap,B,16,354,354,Satıldı
Model Sanayi Merkezi 1. Etap,B,17,365,365,Satıldı
Model Sanayi Merkezi 1. Etap,B,18,365,365,Satıldı
Model Sanayi Merkezi 1. Etap,B,19,184,184,Satıldı
Model Sanayi Merkezi 1. Etap,B,2,368,368,Satıldı
Model Sanayi Merkezi 1. Etap,B,20,180,180,Satıldı
Model Sanayi Merkezi 1. Etap,B,21,184,184,Satıldı
Model Sanayi Merkezi 1. Etap,B,22,184,184,Satıldı
Model Sanayi Merkezi 1. Etap,B,26,184,184,Satıldı
Model Sanayi Merkezi 1. Etap,B,23,180,180,Satıldı
Model Sanayi Merkezi 1. Etap,B,24,184,184,Satıldı
Model Sanayi Merkezi 1. Etap,B,25,184,184,Satıldı
Model Sanayi Merkezi 1. Etap,B,27,184,184,Satıldı
Model Sanayi Merkezi 1. Etap,B,3,354,354,Satıldı
Model Sanayi Merkezi 1. Etap,B,4,354,354,Satıldı
Model Sanayi Merkezi 1. Etap,B,5,354,354,Satıldı
Model Sanayi Merkezi 1. Etap,B,6,354,354,Satıldı
Model Sanayi Merkezi 1. Etap,B,7,354,354,Satıldı
Model Sanayi Merkezi 1. Etap,B,8,354,354,Satıldı
Model Sanayi Merkezi 1. Etap,B,9,365,365,Satıldı
Model Sanayi Merkezi 1. Etap,C,1,438,438,Satıldı
Model Sanayi Merkezi 1. Etap,C,10,368,368,Satıldı
Model Sanayi Merkezi 1. Etap,C,11,432,432,Satıldı
Model Sanayi Merkezi 1. Etap,C,12,368,368,Satıldı
Model Sanayi Merkezi 1. Etap,C,13,420,420,Satıldı
Model Sanayi Merkezi 1. Etap,C,14,358,358,Satıldı
Model Sanayi Merkezi 1. Etap,C,15,420,420,Satıldı
Model Sanayi Merkezi 1. Etap,C,16,358,358,Satıldı
Model Sanayi Merkezi 1. Etap,C,17,432,432,Satıldı
Model Sanayi Merkezi 1. Etap,C,18,368,368,Satıldı
Model Sanayi Merkezi 1. Etap,C,19,608,608,Satıldı
Model Sanayi Merkezi 1. Etap,C,2,374,374,Satıldı
Model Sanayi Merkezi 1. Etap,C,20,596,596,Satıldı
