Bölüm Adı(118),Blok No(118),Daire No(118),"Brüt m²(Σ:48,966.00)","Net M2(Σ:48,966.00)",Durumu - Detay
Model Sanayi Merkezi 1. Etap,C,21,608,608,Satıldı
Model Sanayi Merkezi 1. Etap,C,3,420,420,Satıldı
Model Sanayi Merkezi 1. Etap,C,4,358,358,Satıldı
Model Sanayi Merkezi 1. Etap,C,5,420,420,Satıldı
Model Sanayi Merkezi 1. Etap,C,6,358,358,Satıldı
Model Sanayi Merkezi 1. Etap,C,7,420,420,Satıldı
Model Sanayi Merkezi 1. Etap,C,8,358,358,Satıldı
Model Sanayi Merkezi 1. Etap,C,9,432,432,Satıldı
Model Sanayi Merkezi 1. Etap,D,1,535,535,Satıldı
Model Sanayi Merkezi 1. Etap,D,10,458,458,Satıldı
Model Sanayi Merkezi 1. Etap,D,11,528,528,Satıldı
Model Sanayi Merkezi 1. Etap,D,12,458,458,Satıldı
Model Sanayi Merkezi 1. Etap,D,13,513,513,Satıldı
Model Sanayi Merkezi 1. Etap,D,14,445,445,Satıldı
Model Sanayi Merkezi 1. Etap,D,15,513,513,Satıldı
Model Sanayi Merkezi 1. Etap,D,16,445,445,Satıldı
Model Sanayi Merkezi 1. Etap,D,17,513,513,Satıldı
Model Sanayi Merkezi 1. Etap,D,18,445,445,Satıldı
Model Sanayi Merkezi 1. Etap,D,19,535,535,Satıldı
Model Sanayi Merkezi 1. Etap,D,2,464,464,Satıldı
Model Sanayi Merkezi 1. Etap,D,20,464,464,Satıldı
Model Sanayi Merkezi 1. Etap,D,3,513,513,Satıldı
Model Sanayi Merkezi 1. Etap,D,4,445,445,Satıldı
Model Sanayi Merkezi 1. Etap,D,5,513,513,Satıldı
Model Sanayi Merkezi 1. Etap,D,6,445,445,Satıldı
Model Sanayi Merkezi 1. Etap,D,7,513,513,Satıldı
Model Sanayi Merkezi 1. Etap,D,8,445,445,Satıldı
Model Sanayi Merkezi 1. Etap,D,9,528,528,Satıldı
Model Sanayi Merkezi 1. Etap,E,1,554,554,Satıldı
Model Sanayi Merkezi 1. Etap,E,10,546,546,Satıldı
Model Sanayi Merkezi 1. Etap,E,11,546,546,Satıldı
Model Sanayi Merkezi 1. Etap,E,12,546,546,Satıldı
Model Sanayi Merkezi 1. Etap,E,13,531,531,Satıldı
Model Sanayi Merkezi 1. Etap,E,14,531,531,Satıldı
Model Sanayi Merkezi 1. Etap,E,15,531,531,Satıldı
Model Sanayi Merkezi 1. Etap,E,16,531,531,Satıldı
Model Sanayi Merkezi 1. Etap,E,17,531,531,Satıldı
Model Sanayi Merkezi 1. Etap,E,18,531,531,Satıldı
Model Sanayi Merkezi 1. Etap,E,19,432,432,Satıldı
Model Sanayi Merkezi 1. Etap,E,2,554,554,Satıldı
Model Sanayi Merkezi 1. Etap,E,20,554,554,Satıldı
Model Sanayi Merkezi 1. Etap,E,3,531,531,Satıldı
Model Sanayi Merkezi 1. Etap,E,4,531,531,Satıldı
Model Sanayi Merkezi 1. Etap,E,5,531,531,Satıldı
Model Sanayi Merkezi 1. Etap,E,6,531,531,Satıldı
Model Sanayi Merkezi 1. Etap,E,9,546,546,Satıldı
Model Sanayi Merkezi 1. Etap,E,7,531,531,Satıldı
Model Sanayi Merkezi 1. Etap,E,8,531,531,Satıldı
